source,target
74779701,45396268
74779701,96160040
155898445,45396268
95130354,45396268
70018508,873950011909963776
791670,356695394
1216838999404425216,2387728961
176238404,45396268
271601761,45396268
987719990366351360,2387728961
987719990366351360,873950011909963776
15741783,850460392786718720
360559459,1440956484309897216
267889995,45396268
1379435346031648768,873950011909963776
764371499478163456,96160040
768110104935817216,2387728961
191365554,627372516
71735067,1118145669301198848
71735067,1440956484309897216
1447625315854004224,96160040
3193954781,45396268
1169211548885233664,96160040
290639432,45396268
290639432,96160040
943163470484090880,2387728961
3445668263,45396268
3445668263,96160040
835043029106950144,627372516
23244686,96160040
961254715207114752,45396268
45396268,100620308
45396268,101728465
45396268,104008761
45396268,1045739184240164864
45396268,104575003
45396268,105158410
45396268,1057534257172828160
45396268,10590152
45396268,106012183
45396268,1062286777342398464
45396268,107001942
45396268,107409736
45396268,108553713
45396268,1088744670
45396268,1096354793650573312
45396268,1100410523743485952
45396268,110805945
45396268,110985750
45396268,111961799
45396268,11331622
45396268,113976963
45396268,114766544
45396268,1148966147242545152
45396268,1155309146
45396268,116285769
45396268,116787491
45396268,1169537895281115136
45396268,117677571
45396268,118712842
45396268,1216177118
45396268,1249592527
45396268,126324606
45396268,126410509
45396268,1315285406
45396268,132506144
45396268,132625446
45396268,132981375
45396268,133286278
45396268,134274338
45396268,134992186
45396268,1362198498
45396268,1371661483
45396268,137698811
45396268,13796642
45396268,13904152
45396268,14158154
45396268,142633802
45396268,14330871
45396268,143915798
45396268,14469132
45396268,1463897070
45396268,14862447
45396268,149438595
45396268,151130248
45396268,1513252518
45396268,15308977
45396268,153826056
45396268,155810262
45396268,1565051329
45396268,15705498
45396268,1572774830
45396268,158357343
45396268,16048357
45396268,16206570
45396268,16602393
45396268,166321640
45396268,167728360
45396268,167808788
45396268,169009504
45396268,169399135
45396268,17540746
45396268,176874696
45396268,17767238
45396268,17835115
45396268,18066440
45396268,18435696
45396268,18476766
45396268,18592355
45396268,18769184
45396268,18789893
45396268,18934277
45396268,190566425
45396268,191832655
45396268,19226047
45396268,193223624
45396268,193262712
45396268,193887594
45396268,194927876
45396268,195759569
45396268,199254886
45396268,199302573
45396268,20100663
45396268,202012292
45396268,20525891
45396268,209811713
45396268,21232519
45396268,213014583
45396268,213258510
45396268,2161651062
45396268,21877065
45396268,2225382924
45396268,223455676
45396268,22506983
45396268,225940384
45396268,227293096
45396268,22790881
45396268,22819127
45396268,2286962502
45396268,2296919634
45396268,2329078848
45396268,235418562
45396268,23582581
45396268,2368674554
45396268,240330562
45396268,2478391417
45396268,250680597
45396268,2508529140
45396268,25165951
45396268,260428640
45396268,260847460
45396268,261385248
45396268,26327418
45396268,263848111
45396268,2650664522
45396268,266150232
45396268,2665307420
45396268,2687617016
45396268,269862460
45396268,271030952
45396268,271648036
45396268,2729602723
45396268,274049299
45396268,27838991
45396268,278931640
45396268,27936938
45396268,279992930
45396268,2810438417
45396268,282549568
45396268,282883769
45396268,2847021941
45396268,2849199707
45396268,28528209
45396268,2860596406
45396268,2891897778
45396268,2894363721
45396268,2912665817
45396268,2913512867
45396268,29415843
45396268,297856522
45396268,298142586
45396268,300221501
45396268,3039839793
45396268,304004907
45396268,304859785
45396268,3064821011
45396268,3092290305
45396268,30954925
45396268,312566258
45396268,3126125481
45396268,3166017201
45396268,3180462646
45396268,3186275226
45396268,32359178
45396268,32397355
45396268,3327463973
45396268,3337885463
45396268,3353198308
45396268,3367355182
45396268,353789306
45396268,35548751
45396268,356695394
45396268,364286809
45396268,373434092
45396268,37740430
45396268,377540401
45396268,37942286
45396268,390395713
45396268,40642324
45396268,41872843
45396268,420187364
45396268,42130225
45396268,426475565
45396268,42804564
45396268,43101272
45396268,43130563
45396268,434205269
45396268,43679010
45396268,43808848
45396268,44618941
45396268,45372520
45396268,45384584
45396268,453974470
45396268,45527288
45396268,463738004
45396268,470145688
45396268,482281883
45396268,50026664
45396268,505623693
45396268,50610244
45396268,50787229
45396268,510065057
45396268,51013220
45396268,527623391
45396268,533651810
45396268,575517512
45396268,57688033
45396268,586951893
45396268,58931534
45396268,600449395
45396268,60343403
45396268,60891758
45396268,62664401
45396268,63146369
45396268,63558138
45396268,65294366
45396268,67654646
45396268,6821102
45396268,68582298
45396268,71351233
45396268,72022408
45396268,742650428
45396268,7450312
45396268,74984630
45396268,75144593
45396268,77179811
45396268,80275945
45396268,806850055
45396268,815950770
45396268,82549129
45396268,83366378
45396268,84022811
45396268,84563913
45396268,852550346
45396268,89527528
45396268,902430223
45396268,92901894
45396268,94132134
45396268,96160040
45396268,996415398013800448
2978474913,331734057
1020410500872536064,355163661
1031865828512346112,331734057
1031865828512346112,45396268
1031865828512346112,737544816871899136
1031865828512346112,873950011909963776
1493625851514085376,1351678532246712320
1525657784,96160040
1176085375800029184,1446159106541297664
1176085375800029184,873950011909963776
1087852401330188288,2387728961
142633802,45396268
