source,target
1875124856,45396268
946752183839723520,96160040
96160040,1148966147242545152
96160040,153826056
96160040,37942286
96160040,45396268
96160040,58931534
2511438053,45396268
2511438053,96160040
45396268,1148966147242545152
45396268,134274338
45396268,144110841
45396268,153826056
45396268,37942286
45396268,45372520
45396268,58931534
45396268,96160040
1406365791403008000,1148966147242545152
1406365791403008000,37942286
1406365791403008000,45396268
1406365791403008000,58931534
144110841,45396268
144110841,96160040
982647224655020032,37942286
982647224655020032,45396268
982647224655020032,96160040
153826056,45396268
153826056,96160040
37942286,45396268
37942286,96160040
37942286,982647224655020032
134274338,45396268
134274338,96160040
150227649,45396268
150227649,96160040
382748898,45396268
382748898,96160040
1148966147242545152,45396268
1148966147242545152,96160040
45372520,45396268
45372520,96160040
1387682948703563776,45396268
58931534,1406365791403008000
58931534,45396268
58931534,96160040
424382209,45396268
